bin valid fake clones missed
93.6 0 3 1 0
93.7 0 6 1 0
93.8 0 6 0 0
93.9 0 3 1 0
94 0 1 0 0
94.1 0 5 0 0
94.2 0 6 0 0
94.3 0 4 0 0
94.4 0 1 0 0
94.5 0 4 0 0
94.6 0 4 1 0
94.7 0 5 0 0
94.8 0 8 0 0
94.9 0 15 0 0
95 0 2 0 0
95.1 0 9 0 0
95.2 1 5 0 0
95.3 0 3 0 0
95.4 0 6 0 0
95.5 1 4 0 0
95.6 0 10 0 0
95.7 0 6 0 0
95.8 0 6 0 0
95.9 0 6 0 0
96 0 4 0 0
96.1 0 2 0 0
96.2 0 6 0 0
96.3 0 11 0 0
96.4 0 1 0 0
96.5 0 10 0 1
96.6 0 3 0 0
96.7 0 7 0 0
96.8 0 7 1 0
96.9 0 6 0 0
97 0 7 0 0
97.1 0 8 1 0
97.2 0 10 1 0
97.3 0 10 0 0
97.4 0 8 0 0
97.5 0 1 0 0
97.6 0 7 0 0
97.7 0 10 0 0
97.8 0 5 0 0
97.9 0 2 0 0
98 0 6 1 0
98.1 0 6 0 0
98.2 0 11 0 0
98.3 0 1 1 0
98.4 0 5 0 0
98.5 0 9 0 0
98.6 1 2 0 0
98.7 0 17 0 0
98.8 0 4 0 0
98.9 0 10 2 0
99 0 5 0 0
99.1 1 4 0 0
99.2 0 16 1 0
99.3 0 14 0 0
99.4 1 4 0 0
99.5 0 5 0 0
99.6 0 12 0 0
99.7 0 8 0 0
99.8 0 4 0 0
99.9 0 13 0 0
100 0 6 0 0
100.1 0 6 0 0
100.2 0 5 0 0
100.3 0 4 0 0
100.4 0 8 0 0
100.5 0 12 0 0
100.6 0 2 0 0
100.7 0 4 0 0
100.8 0 3 0 0
100.9 0 5 0 0
101 0 2 0 0
101.1 0 8 0 0
101.2 0 7 1 0
101.3 0 3 0 0
101.4 1 7 0 0
101.5 0 2 0 0
101.6 0 5 0 0
101.7 0 8 0 0
101.8 0 3 0 0
101.9 0 8 0 0
102 0 6 0 0
102.1 0 4 0 0
102.2 0 3 0 0
102.3 0 12 0 0
102.4 1 6 0 0
102.5 0 13 0 0
102.6 0 11 0 0
102.7 0 8 0 0
102.8 0 5 0 0
102.9 0 2 0 0
103 0 5 0 0
103.1 0 5 0 0
103.2 0 4 0 0
103.3 0 5 0 0
103.4 0 8 0 0
103.5 0 8 0 0
103.6 0 4 0 0
103.7 0 3 1 0
103.8 0 6 0 0
103.9 0 6 0 0
104 0 3 0 0
104.1 0 7 0 0
104.2 0 5 1 0
104.3 0 4 0 0
104.4 0 2 0 0
104.5 0 10 0 0
104.6 0 5 0 0
104.7 0 3 0 0
104.8 1 2 0 0
104.9 0 15 1 0
105 0 5 0 0
105.1 0 4 1 0
105.2 0 4 0 0
105.3 1 10 0 0
105.4 0 2 0 0
105.5 0 5 0 0
105.6 0 12 0 0
105.7 0 5 0 0
105.8 0 4 0 0
105.9 0 3 0 0
106 0 5 0 0
106.1 0 6 0 0
